Generation,Total Population
0,4
1,3.8
2,3.61
3,3.4294999999999995
4,3.2580249999999995
5,5.095123749999999
6,6.840367562499999
7,8.498349184374998
8,10.073431725156249
9,11.569760138898435
10,12.991272131953512
11,14.341708525355838
12,15.4631827484375
13,18.690023611015622
14,23.75552243046484
15,30.567746308941594
16,37.03935899349452
17,42.10667086849452
18,48.92061714974451
19,57.39386611693201
20,71.44345263576015
21,88.79055982864685
22,109.27031166188922
23,132.7260759034695
24,157.92833175764548
25,189.87047481911264
26,229.1347905521812
27,279.35517032327107
28,341.0645311058064
29,415.68842384921487
30,505.50040178012785
31,613.7410606391696
32,745.3275260292838
33,904.1732277992414
34,1098.915204130051
35,1337.758641293669
36,1630.498466248456
37,1986.2784192542024
38,2416.865773733035
39,2938.358719260649
40,3574.211976284606
41,4349.626809054761
42,5295.463698433159
43,6447.040101238732
44,7847.746161098818
45,9552.963954810048
46,11628.064294803238
47,14153.149452887657
48,17227.2358671068
49,20969.308433426646
50,25527.322082839557
51,31076.591839262313
52,37830.424814889855
53,46051.301325956745
54,56056.25479218452
55,68237.22480178264
56,83066.06964249814
57,101118.57036663881
58,123093.07321249438
59,149843.28062486215
60,182405.2412841958
61,222045.1520746469
62,270298.4470730037
63,329037.2549688838
64,400541.0800130408
65,487583.9489182556
66,593544.2811353585
67,722532.7812943977
68,879549.3406246265
69,1070687.4475420895
70,1303363.4584280024
71,1586604.839826988
72,1931401.079255574
73,2351126.243268514
74,2862063.4883419652
75,3484035.2968502333
76,4241173.716922623
77,5162851.283105691
78,6284823.34163012
79,7650617.048611595
80,9313220.707539037
81,11337138.056842789
82,13800887.470841423
83,16800048.05255437
84,20450974.354507234
85,24895307.327488143
86,30305467.797935463
87,36891348.3788835
88,44908448.6012651
89,54667795.813030936
90,66548011.05536881
91,81009994.72988404
92,98614807.40342684
93,120045435.03839624
94,146133292.1177188
95,177890471.79647598
96,216549013.7555545
97,263608696.84956366
98,320895227.7036048
99,390631067.2413459
100,475521657.2518894
101,578860377.5579327
102,704656312.8015978
103,857789785.828112
104,1044201694.390258
105,1271123993.6027663
106,1547360260.7859251
107,1883627240.061476
108,2292970596.6033626
109,2791271035.2776866
110,3397860400.5388494
111,4136271668.9904904
112,5035151919.973183
113,6129373719.356945
114,7461388012.93849
115,9082871045.609053
116,11056729164.146233
117,13459539301.220604
118,16384519827.025118
119,19945147001.342384
120,24279557355.28751
121,29555906775.90951
122,35978894204.505775
123,43797703045.44681
124,53315668376.08762
125,64902045009.13408
126,79006332936.00397
127,96175715929.06429
128,117076289847.46967
